Zmienna;jednostka miary;Kwartal;Rok;Wartosc;;;;;;;;;;;;;;;;;;;;;;Odwrotnie
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2009;3895;;;;;;;;;;;;;;;;;;;;;;4433
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2008;3631;;;;;;;;;;;;;;;;;;;;;;4657
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2008;3478;;;;;;;;;;;;;;;;;;;;;;3979
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2008;3186;;;;;;;;;;;;;;;;;;;;;;3797
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2008;2970;;;;;;;;;;;;;;;;;;;;;;3819
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2007;2890;;;;;;;;;;;;;;;;;;;;;;3988
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2007;3041;;;;;;;;;;;;;;;;;;;;;;3829
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2007;2650;;;;;;;;;;;;;;;;;;;;;;4130
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2007;2683;;;;;;;;;;;;;;;;;;;;;;4103
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2006;2619;;;;;;;;;;;;;;;;;;;;;;3915
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2006;2557;;;;;;;;;;;;;;;;;;;;;;3837
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2006;2445;;;;;;;;;;;;;;;;;;;;;;4019
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2006;2560;;;;;;;;;;;;;;;;;;;;;;3879
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2005;2388;;;;;;;;;;;;;;;;;;;;;;3975
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2005;2528;;;;;;;;;;;;;;;;;;;;;;4228
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2005;2336;;;;;;;;;;;;;;;;;;;;;;4129
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2005;2505;;;;;;;;;;;;;;;;;;;;;;4141
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2004;2195;;;;;;;;;;;;;;;;;;;;;;3880
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2004;2386;;;;;;;;;;;;;;;;;;;;;;3984
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2004;2562;;;;;;;;;;;;;;;;;;;;;;3926
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2004;2412;;;;;;;;;;;;;;;;;;;;;;4066
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2003;2432;;;;;;;;;;;;;;;;;;;;;;3961
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2003;2117;;;;;;;;;;;;;;;;;;;;;;3925
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2003;2332;;;;;;;;;;;;;;;;;;;;;;4177
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2003;2071;;;;;;;;;;;;;;;;;;;;;;4063
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2002;2330;;;;;;;;;;;;;;;;;;;;;;3976
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2002;2484;;;;;;;;;;;;;;;;;;;;;;4000
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2002;2400;;;;;;;;;;;;;;;;;;;;;;4424
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2002;2400;;;;;;;;;;;;;;;;;;;;;;4014
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2001;2500;;;;;;;;;;;;;;;;;;;;;;4097
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2001;2700;;;;;;;;;;;;;;;;;;;;;;4145
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2001;2490;;;;;;;;;;;;;;;;;;;;;;4132
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2001;2350;;;;;;;;;;;;;;;;;;;;;;4294
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;2000;2300;;;;;;;;;;;;;;;;;;;;;;4385
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;2000;2300;;;;;;;;;;;;;;;;;;;;;;4139
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;2000;2280;;;;;;;;;;;;;;;;;;;;;;4388
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;2000;2245;;;;;;;;;;;;;;;;;;;;;;4484
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;IV;1999;2220;;;;;;;;;;;;;;;;;;;;;;4376
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;III;1999;2200;;;;;;;;;;;;;;;;;;;;;;4597
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;II;1999;2150;;;;;;;;;;;;;;;;;;;;;;4567
Cena 1 m2 powierzchni u¿ytkowej budynku mieszkalnego oddanego do u¿ytkowania;z³;I;1999;1960;;;;;;;;;;;;;;;;;;;;;;5000
;z³;IV;1998;1930;;;;;;;;;;;;;;;;;;;;;;4987
